,,,,,,
Country,Territory,Sites (n),Surveys (n),Datasets (n),First year,Last year
Nicaragua,Nicaragua,58,77,3,2003,2015
Oman,Oman,132,277,12,2003,2024
Palau,Palau,116,425,4,1997,2024
Panama,Panama,308,480,5,1997,2024
Papua New Guinea,Papua New Guinea,280,536,5,1998,2025
Philippines,Philippines,922,"1,289",5,1986,2023
Qatar,Qatar,26,26,4,2014,2024
Republic of Mauritius,Chagos Archipelago,63,224,3,2010,2023
Republic of Mauritius,Republic of Mauritius,10,12,1,1999,2003
Saint Kitts and Nevis,Saint Kitts and Nevis,38,55,2,2004,2024
Saint Lucia,Saint Lucia,21,61,1,1999,2014
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,55,74,4,1999,2024
Samoa,Samoa,50,90,4,2012,2022
Saudi Arabia,Saudi Arabia,179,346,7,1985,2024
Seychelles,Seychelles,125,244,4,1994,2024
Singapore,Singapore,65,362,3,1986,2024
Sint-Maarten,Sint-Maarten,14,61,3,1999,2024
Solomon Islands,Solomon Islands,190,288,6,2005,2024
South Africa,South Africa,6,37,2,1993,2023
Sri Lanka,Sri Lanka,10,32,2,2003,2024
Sudan,Sudan,86,123,6,2004,2022
Taiwan,Taiwan,186,459,3,1997,2024
Tanzania,Tanzania,197,369,14,1992,2025
Thailand,Thailand,297,619,4,1988,2024
Tonga,Tonga,551,682,8,2002,2024
Trinidad and Tobago,Trinidad and Tobago,52,115,3,2007,2023
United Arab Emirates,"Abu musa, Greater and Lesser Tunb",7,7,1,2016,2017
United Arab Emirates,United Arab Emirates,78,230,13,2004,2024
United Kingdom,Anguilla,10,132,2,2002,2023
United Kingdom,Bermuda,203,255,2,1982,2021
United Kingdom,British Virgin Islands,34,328,3,1992,2024
United Kingdom,Cayman Islands,70,227,5,1997,2024
United Kingdom,Montserrat,87,109,2,2005,2017
United Kingdom,Pitcairn,6,12,2,2009,2023
United Kingdom,Turks and Caicos Islands,91,149,5,1999,2024
United States,American Samoa,"1,039","1,219",4,1997,2019
United States,Guam,391,545,4,1997,2021
United States,Hawaii,"2,019","2,405",4,1997,2021
United States,Howland and Baker Islands,150,150,1,2015,2017
United States,Jarvis Island,222,222,1,2015,2017
United States,Johnston Atoll,46,46,1,2015,2015
United States,Northern Mariana Islands,680,924,3,1999,2020
United States,Palmyra Atoll,194,298,2,2009,2019
United States,Puerto Rico,"2,985","3,296",8,1982,2024
United States,United States,"2,038","5,283",13,1984,2024
United States,United States Virgin Islands,"5,885","6,878",10,1982,2024
United States,Wake Island,146,146,1,2014,2017
Vanuatu,Vanuatu,75,114,3,2004,2023
Venezuela,Venezuela,50,57,3,1999,2018
Vietnam,Vietnam,278,705,3,1998,2024
Yemen,Yemen,6,12,3,1999,2017
